tile.end_rod.name block.minecraft.end_rod
tile.beacon.name block.minecraft.beacon
tile.anvil.name block.minecraft.anvil
tile.acaciaFence.name block.minecraft.acacia_fence
tile.activator_rail.name block.minecraft.activator_rail
tile.acacia_fence_gate.name block.minecraft.acacia_fence_gate
tile.barrier.name block.minecraft.barrier
tile.air.name block.minecraft.air
tile.anvil.intact.name block.minecraft.anvil
tile.beacon.secondary block.minecraft.beacon.secondary
tile.beehive.name block.minecraft.beehive
tile.bee_nest.name block.minecraft.bee_nest
tile.beacon.primary block.minecraft.beacon.primary
tile.bed.respawnSet block.minecraft.set_spawn
tile.target.name block.minecraft.target
tile.conduit.name block.minecraft.conduit
tile.bedrock.name block.minecraft.bedrock
tile.bell.name block.minecraft.bell
tile.dirt_with_roots.name block.minecraft.rooted_dirt
tile.bed.occupied block.minecraft.bed.occupied
tile.azalea_leaves.name block.minecraft.azalea_leaves
tile.spore_blossom.name block.minecraft.spore_blossom
tile.azalea.name block.minecraft.azalea
tile.big_dripleaf.name block.minecraft.big_dripleaf
tile.cave_vines_body_with_berries.name block.minecraft.cave_vines
tile.beetroot.name item.minecraft.beetroot
tile.cave_vines.name block.minecraft.cave_vines
tile.hanging_roots.name block.minecraft.hanging_roots
tile.flowering_azalea.name block.minecraft.flowering_azalea
tile.cave_vines_head_with_berries.name block.minecraft.cave_vines
tile.small_dripleaf_block.name block.minecraft.small_dripleaf
tile.bone_block.name block.minecraft.bone_block
tile.birch_fence_gate.name block.minecraft.birch_fence_gate
tile.gold_block.name block.minecraft.gold_block
tile.iron_block.name block.minecraft.iron_block
tile.coal_block.name block.minecraft.coal_block
tile.moss_block.name block.minecraft.moss_block
tile.birch_button.name block.minecraft.birch_button
tile.blast_furnace.name block.minecraft.blast_furnace
tile.bookshelf.name block.minecraft.bookshelf
tile.emerald_block.name block.minecraft.emerald_block
tile.diamond_block.name block.minecraft.diamond_block
tile.birchFence.name block.minecraft.birch_fence
tile.wooden_button.name block.minecraft.oak_button
tile.acacia_button.name block.minecraft.acacia_button
tile.moss_carpet.name block.minecraft.moss_carpet
tile.jungle_button.name block.minecraft.jungle_button
tile.brown_mushroom_block.stem.name block.minecraft.mushroom_stem
tile.brown_mushroom.name block.minecraft.brown_mushroom
tile.cake.name block.minecraft.cake
tile.stone_button.name block.minecraft.stone_button
tile.redstone_block.name block.minecraft.redstone_block
tile.spruce_button.name block.minecraft.spruce_button
tile.dried_kelp_block.name block.minecraft.dried_kelp_block
tile.cactus.name block.minecraft.cactus
tile.carrot.name block.minecraft.carrots
tile.respawn_anchor.respawnSet block.minecraft.set_spawn
tile.carved_pumpkin.name block.minecraft.carved_pumpkin
tile.brown_mushroom_block.cap.name block.minecraft.brown_mushroom_block
tile.chest.name block.minecraft.chest
tile.cauldron.name block.minecraft.cauldron
tile.dark_oak_button.name block.minecraft.dark_oak_button
tile.honeycomb_block.name block.minecraft.honeycomb_block
tile.jigsaw.name block.minecraft.jigsaw
tile.crimson_planks.name block.minecraft.crimson_planks
tile.ender_chest.name block.minecraft.ender_chest
tile.warped_stem.name block.minecraft.warped_stem
tile.nether_sprouts.name block.minecraft.nether_sprouts
tile.stripped_crimson_stem.name block.minecraft.stripped_crimson_stem
tile.stripped_crimson_hyphae.name block.minecraft.stripped_crimson_hyphae
tile.crimson_stem.name block.minecraft.crimson_stem
tile.honey_block.name block.minecraft.honey_block
tile.warped_door.name block.minecraft.warped_door
tile.crimson_hyphae.name block.minecraft.crimson_hyphae
tile.crimson_trapdoor.name block.minecraft.crimson_trapdoor
tile.warped_standing_sign.name block.minecraft.warped_sign
tile.lodestone.name block.minecraft.lodestone
tile.warped_hyphae.name block.minecraft.warped_hyphae
tile.crimson_fence_gate.name block.minecraft.crimson_fence_gate
tile.stripped_warped_hyphae.name block.minecraft.stripped_warped_hyphae
tile.stripped_warped_stem.name block.minecraft.stripped_warped_stem
tile.crimson_double_slab.name block.minecraft.crimson_slab
tile.crimson_door.name block.minecraft.crimson_door
tile.warped_stairs.name block.minecraft.warped_stairs
tile.warped_trapdoor.name block.minecraft.warped_trapdoor
tile.warped_button.name block.minecraft.warped_button
tile.warped_planks.name block.minecraft.warped_planks
tile.warped_wall_sign.name block.minecraft.warped_sign
tile.crimson_stairs.name block.minecraft.crimson_stairs
tile.crimson_button.name block.minecraft.crimson_button
tile.warped_fence.name block.minecraft.warped_fence
tile.crimson_standing_sign.name block.minecraft.crimson_sign
tile.blackstone_stairs.name block.minecraft.blackstone_stairs
tile.crimson_slab.name block.minecraft.crimson_slab
tile.crimson_pressure_plate.name block.minecraft.crimson_pressure_plate
tile.warped_pressure_plate.name block.minecraft.warped_pressure_plate
tile.crimson_fence.name block.minecraft.crimson_fence
tile.crimson_wall_sign.name block.minecraft.crimson_sign
tile.warped_fence_gate.name block.minecraft.warped_fence_gate
tile.warped_double_slab.name block.minecraft.warped_slab
tile.polished_blackstone_bricks.name block.minecraft.polished_blackstone_bricks
tile.blackstone_wall.name block.minecraft.blackstone_wall
tile.blackstone.name block.minecraft.blackstone
tile.warped_nylium.name block.minecraft.warped_nylium
tile.polished_basalt.name block.minecraft.polished_basalt
tile.chiseled_polished_blackstone.name block.minecraft.chiseled_polished_blackstone
tile.crimson_nylium.name block.minecraft.crimson_nylium
tile.basalt.name block.minecraft.basalt
tile.warped_slab.name block.minecraft.warped_slab
tile.shroomlight.name block.minecraft.shroomlight
tile.polished_blackstone.name block.minecraft.polished_blackstone
tile.cracked_polished_blackstone_bricks.name block.minecraft.cracked_polished_blackstone_bricks
tile.soul_campfire.name block.minecraft.soul_campfire
tile.chain.name block.minecraft.chain
tile.soul_fire.name block.minecraft.soul_fire
tile.polished_blackstone_button.name block.minecraft.polished_blackstone_button
tile.polished_blackstone_brick_wall.name block.minecraft.polished_blackstone_brick_wall
tile.blackstone_slab.name block.minecraft.blackstone_slab
tile.polished_blackstone_slab.name block.minecraft.polished_blackstone_slab
tile.polished_blackstone_wall.name block.minecraft.polished_blackstone_wall
tile.polished_blackstone_brick_slab.name block.minecraft.polished_blackstone_brick_slab
tile.shulkerBoxMagenta.name block.minecraft.magenta_shulker_box
tile.polished_blackstone_brick_stairs.name block.minecraft.polished_blackstone_brick_stairs
tile.shulkerBoxSilver.name block.minecraft.light_gray_shulker_box
tile.cracked_nether_bricks.name block.minecraft.cracked_nether_bricks
tile.gilded_blackstone.name block.minecraft.gilded_blackstone
tile.soul_soil.name block.minecraft.soul_soil
tile.trapped_chest.name block.minecraft.trapped_chest
tile.chiseled_nether_bricks.name block.minecraft.chiseled_nether_bricks
tile.quartz_bricks.name block.minecraft.quartz_bricks
tile.shulkerBoxYellow.name block.minecraft.yellow_shulker_box
tile.polished_blackstone_pressure_plate.name block.minecraft.polished_blackstone_pressure_plate
tile.shulkerBoxWhite.name block.minecraft.white_shulker_box
tile.shulkerBoxCyan.name block.minecraft.cyan_shulker_box
