item.golden_apple.name item.minecraft.golden_apple
item.apple.name item.minecraft.apple
item.armor_stand.name item.minecraft.armor_stand
item.axolotlColorWild.name item.minecraft.firework_star.brown
item.axolotlColorLucy.name item.minecraft.firework_star.pink
item.axolotlColorBlue.name item.minecraft.firework_star.blue
item.appleEnchanted.name item.minecraft.enchanted_golden_apple
item.axolotlColorCyan.name item.minecraft.firework_star.cyan
item.tipped_arrow.name item.minecraft.tipped_arrow item.minecraft.tipped_arrow.effect.awkward item.minecraft.tipped_arrow.effect.mundane item.minecraft.tipped_arrow.effect.thick
item.arrow.name item.minecraft.arrow
item.beef.name item.minecraft.beef
item.steak.name item.minecraft.cooked_beef
item.beetroot_soup.name item.minecraft.beetroot_soup
item.boat.spruce.name item.minecraft.spruce_boat
item.blaze_powder.name item.minecraft.blaze_powder
item.blaze_rod.name item.minecraft.blaze_rod
item.boat.oak.name item.minecraft.oak_boat
item.boat.acacia.name item.minecraft.acacia_boat
item.beetroot.name item.minecraft.beetroot
item.boat.jungle.name item.minecraft.jungle_boat
item.chainmail_boots.name item.minecraft.chainmail_boots
item.boat.birch.name item.minecraft.birch_boat
item.bone.name item.minecraft.bone
item.golden_boots.name item.minecraft.golden_boots
item.iron_boots.name item.minecraft.iron_boots
item.diamond_boots.name item.minecraft.diamond_boots
item.bow.name item.minecraft.bow
item.bread.name item.minecraft.bread
item.leather_boots.name item.minecraft.leather_boots
item.bowl.name item.minecraft.bowl
item.brewing_stand.name item.minecraft.brewing_stand
item.bucket.name item.minecraft.bucket
item.bucketPuffer.name item.minecraft.pufferfish_bucket
item.boat.big_oak.name item.minecraft.dark_oak_boat
item.book.name item.minecraft.book
item.brick.name item.minecraft.brick
item.bucketLava.name item.minecraft.lava_bucket
item.bucketTropical.name item.minecraft.tropical_fish_bucket
item.bucketWater.name item.minecraft.water_bucket
item.bucketAxolotl.name item.minecraft.axolotl_bucket
item.bucketSalmon.name item.minecraft.salmon_bucket
item.bucketFish.name item.minecraft.cod_bucket
item.tropicalColorYellow.name item.minecraft.firework_star.yellow
item.tropicalColorMagenta.name item.minecraft.firework_star.magenta
item.tropicalColorWhite.name item.minecraft.firework_star.white
item.tropicalColorLime.name item.minecraft.firework_star.lime
item.tropicalColorGray.name item.minecraft.firework_star.gray
item.tropicalColorOrange.name item.minecraft.firework_star.orange
item.tropicalColorRed.name item.minecraft.firework_star.red
item.tropicalColorRose.name item.minecraft.firework_star.red
item.tropicalColorBrown.name item.minecraft.firework_star.brown
item.tropicalColorBlue.name item.minecraft.firework_star.blue
item.tropicalColorGreen.name item.minecraft.firework_star.green
item.canBreak item.canBreak
item.canPlace item.canPlace
item.warped_fungus_on_a_stick.name item.minecraft.warped_fungus_on_a_stick
